SHA_PASS,actual_bpb,category,compressed_bytes,compression_ms,decompression_ms,oracle_strategy,original_bytes,profile,reason,size_bucket,source,source_id,status,strategies_measured
True,8.000602939072495,video,1565782,263.48609999695327,438.7133999989601,zstd|1|identity,1565664,balanced,,1_10MiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_18__walk_down_hall_angry__B95S4G6F.mp4,75ac8e38c89544f86012,PASS,26
True,17.185185185185187,binary,116,4.874800011748448,5.650899984175339,raw|default|identity,54,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\.gradle\buildOutputCleanup\cache.properties,a79486349dd2e056bef1,PASS,27
True,17.185185185185187,binary,116,4.874800011748448,5.650899984175339,raw|default|identity,54,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\.gradle\buildOutputCleanup\cache.properties,a79486349dd2e056bef1,PASS,27
True,17.185185185185187,binary,116,4.874800011748448,5.650899984175339,raw|default|identity,54,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\.gradle\buildOutputCleanup\cache.properties,a79486349dd2e056bef1,PASS,27
True,0.5395705932241218,logs,3022,9.441799978958443,21.341799991205335,brotli|6|identity,44806,smallest,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\model_search\imports\candidate_b_20260830-183205\watch.log,1dfa898e4b00116e4cab,PASS,26
True,0.5808150694103468,logs,3253,5.486700014444068,5.817700002808124,deflate|6|identity,44806,fastest,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\model_search\imports\candidate_b_20260830-183205\watch.log,1dfa898e4b00116e4cab,PASS,26
True,0.5808150694103468,logs,3253,5.486700014444068,5.817700002808124,deflate|6|identity,44806,balanced,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\model_search\imports\candidate_b_20260830-183205\watch.log,1dfa898e4b00116e4cab,PASS,26
True,6.397883597883598,model,108828,58.58599999919534,49.87349998555146,lzma2|3|byte-shuffle,136080,smallest,,64KiB_1MiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\checkpoints\neural_lossy_v1\validation.latest.pt,bc559421f72cb439e577,PASS,26
True,6.958730158730159,model,118368,7.863000006182119,24.23029998317361,zstd|3|identity,136080,fastest,,64KiB_1MiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\checkpoints\neural_lossy_v1\validation.latest.pt,bc559421f72cb439e577,PASS,26
True,6.637566137566138,model,112905,16.444999986561015,26.34000001125969,brotli|6|identity,136080,balanced,,64KiB_1MiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\checkpoints\neural_lossy_v1\validation.latest.pt,bc559421f72cb439e577,PASS,26
