SHA_PASS,actual_bpb,candidate_generation_ms,category,chunks,compressed_bytes,compression_MiB_s,compression_ms,decompression_MiB_s,decompression_ms,feature_scan_ms,inference_ms,metadata_bytes,metadata_percent,method,microbenchmark_ms,oracle_bytes,oracle_gap_percent,oracle_strategy,original_bytes,peak_RSS_MB,plan_mode,ratio,routing_mode,selected_strategy,selection_ms,selector_confidence,size_bucket,source,source_id,status
True,8.842105263157896,,csv,,42,0.0025650559895604094,14.128199996775948,0.12305474988840237,0.2945000014733523,,,,,A_fixed_best,,,,,38,327.125,,0.9047619047619048,,brotli-11,,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\roundtrip_results.csv,e3912e357456af06dfed,PASS
True,169.89473684210526,103.94709999673069,csv,,807,0.00010520147139397421,344.4783000013558,0.0001663027182452581,217.91360000497662,46.10960000718478,43.171800003619865,769,95.2912019826518,B_hybrid_v1,56.82080000406131,,,,38,327.125,,0.04708798017348203,,"{""raw"": 1}",146.10220001486596,N/A,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\roundtrip_results.csv,e3912e357456af06dfed,PASS
True,163.57894736842104,,csv,,777,0.016064375159636296,2.255900006275624,0.0018407989061102646,19.686900021042675,0.006699992809444666,0.0,739,95.10939510939511,C_ai_only,0.0,,,,38,215.76953125,,0.0489060489060489,,"{""raw|default|identity"": 1}",,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\roundtrip_results.csv,e3912e357456af06dfed,PASS
True,163.57894736842104,,csv,,777,0.013285780752053566,2.7276999899186194,0.0017985460601973272,20.149400021182373,0.006099988240748644,0.0,739,95.10939510939511,D_ai_top2,0.0,,,,38,215.76953125,,0.0489060489060489,,"{""raw|default|identity"": 1}",,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\roundtrip_results.csv,e3912e357456af06dfed,PASS
True,166.31578947368422,,csv,,790,0.0166061604926017,2.1822999988216907,0.0015403549997080376,23.526800010586157,0.0053000112529844046,0.0,752,95.18987341772151,E_confidence_adaptive,0.0,,,,38,215.76953125,,0.04810126582278481,,"{""raw|default|identity"": 1}",,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\roundtrip_results.csv,e3912e357456af06dfed,PASS
True,21.473684210526315,0.0,csv,1,102,0.006499215216985784,5.575999995926395,0.0018743695917469115,19.334300013724715,0.0052000104915350676,0.0,64,62.745098039215684,F_compact_xaic,0.0,,,,38,215.76953125,requested_chunking,0.37254901960784315,confidence,"[""raw|default|identity""]",0.5225000204518437,1.0,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\roundtrip_results.csv,e3912e357456af06dfed,PASS
True,21.05263157894737,0.0,csv,1,100,0.006650326478506154,5.44929999159649,0.0015322401221527563,23.651399998925626,0.005700014298781753,0.0,62,62.0,G_compact_adaptive,0.0,,,,38,215.76953125,whole_file,0.38,confidence,"[""raw|default|identity""]",0.23589999182149768,1.0,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\roundtrip_results.csv,e3912e357456af06dfed,PASS
True,21.05263157894737,0.0,csv,1,100,0.0006668965255872454,54.340699993190356,0.00013266938411527819,273.15739999176003,0.0610999995842576,0.0,62,62.0,H_full_v2,0.0,100,0.0,raw|default|identity,38,327.125,whole_file,0.38,confidence,"[""raw|default|identity""]",4.549700010102242,1.0,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\roundtrip_results.csv,e3912e357456af06dfed,PASS
True,6.4,,csv,,72,0.0055062027524678805,15.587999994750135,0.3346225630364565,0.2565000031609088,,,,,A_fixed_best,,,,,90,327.125,,1.25,,brotli-11,,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\final_comparison.csv,921d357da1bee764ce1d,PASS
True,76.35555555555555,82.50080001016613,csv,,859,0.0003427904688635831,250.38820000190753,0.0004526915945226182,189.60080000397284,17.373299997416325,23.700199992163107,769,89.52270081490104,B_hybrid_v1,37.7745000005234,,,,90,327.125,,0.10477299185098952,,"{""raw"": 1}",78.84799999010283,N/A,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\final_analysis\final_comparison.csv,921d357da1bee764ce1d,PASS
